#,id,bureau_score,score_band,report_status,total_accounts,active_accounts,overdue_accounts,dpd_max,credit_utilization_pct,emi_to_income_ratio,tradelines,enquiries,mock_raw_report,created_at,loan_application_id,user_id
1,1,624,low,mocked,5,4,2,30,73.65,0.21,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 26140.9}]","{""bureau_score"": 624, ""report_number"": ""a9386d85-33f9-45bb-b293-e8ba60b4c62b"", ""assessment_date"": ""2025-02-25""}",2025-05-11 10:03:18.788399,1,7411
2,2,592,low,mocked,2,1,1,30,61.52,0.55,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 69778.5}]","{""bureau_score"": 592, ""report_number"": ""5f671e47-3581-45b0-8e25-c3bff10ca9ac"", ""assessment_date"": ""2025-02-12""}",2025-05-11 10:03:18.821792,2,4549
3,3,802,high,mocked,6,4,0,60,2.92,0.34,"[{""dpd"": 60, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 33169.6}]","{""bureau_score"": 802, ""report_number"": ""605d04e2-e85c-4560-a3ac-74321a3ad252"", ""assessment_date"": ""2025-03-30""}",2025-05-11 10:03:18.843615,3,8739
4,4,815,high,mocked,1,1,1,30,87.8,0.26,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 62831.1}]","{""bureau_score"": 815, ""report_number"": ""ac6ab29b-40c7-4bc7-a7ff-0220458ba648"", ""assessment_date"": ""2025-02-18""}",2025-05-11 10:03:18.874066,4,9416
5,5,617,low,mocked,13,5,0,0,56.69,0.97,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 98866.1}]","{""bureau_score"": 617, ""report_number"": ""17084e24-2227-4227-b6ce-c6981577bc22"", ""assessment_date"": ""2025-01-21""}",2025-05-11 10:03:18.905791,5,2452
6,6,707,medium,mocked,15,8,1,30,2.9,0.34,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 95993.3}]","{""bureau_score"": 707, ""report_number"": ""b34b5d51-23ed-4a2f-8334-f7c4a687faae"", ""assessment_date"": ""2025-02-27""}",2025-05-11 10:03:18.923933,6,1455
7,7,668,medium,mocked,3,1,1,90,52.62,0.2,"[{""dpd"": 90, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 77293.1}]","{""bureau_score"": 668, ""report_number"": ""5b1881d5-38f9-4e4a-b00b-3b4135e03b77"", ""assessment_date"": ""2025-04-20""}",2025-05-11 10:03:18.945135,7,9945
8,8,734,medium,mocked,12,7,0,0,13.28,0.29,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 79343.3}]","{""bureau_score"": 734, ""report_number"": ""ca800661-d653-4f71-9f67-84795f459cd9"", ""assessment_date"": ""2025-05-02""}",2025-05-11 10:03:18.974178,8,9407
9,9,486,low,mocked,13,8,0,0,78.94,0.3,"[{""dpd"": 0, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 96731.2}]","{""bureau_score"": 486, ""report_number"": ""31b87ac0-88a9-47dd-b27c-5b021c14513f"", ""assessment_date"": ""2025-02-23""}",2025-05-11 10:03:18.999337,9,3814
10,10,811,high,mocked,4,1,1,30,13.07,0.23,"[{""dpd"": 30, ""account_type"": ""credit_card""}, {""dpd"": 0, ""account_type"": ""personal_loan""}]","[{""type"": ""loan"", ""amount"": 85031.0}]","{""bureau_score"": 811, ""report_number"": ""b04c60f7-5e32-4202-ad5e-fab78311ac8d"", ""assessment_date"": ""2025-02-21""}",2025-05-11 10:03:19.017370,10,9270
