#,id,amount_requested,purpose,term_months,monthly_income,existing_loans,risk_score,ai_decision,ml_scoring_output,status,notes,submitted_at,reviewed_at,updated_at,credit_score_records,user_id
1,1,110798,medical,12,85409.6,0,,reject,,rejected,,2025-04-28 09:26:13.283114,,2025-04-28 09:26:13.283149,,9715
2,2,235400,medical,24,70133.16,0,,reject,,rejected,,2025-04-28 09:26:13.505694,,2025-04-28 09:26:13.505786,,6845
3,3,690657,home,36,32613.84,0,,reject,,rejected,,2025-04-28 09:26:13.710586,,2025-04-28 09:26:13.710673,,7337
4,4,617973,medical,24,120928.86,0,,reject,,rejected,,2025-04-28 09:26:13.883532,,2025-04-28 09:26:13.883621,,8907
5,5,661929,personal,60,73807.5,0,,reject,,rejected,,2025-04-28 09:26:14.064919,,2025-04-28 09:26:14.065005,,9126
6,6,365604,home,48,87637.88,0,,reject,,rejected,,2025-04-28 09:26:14.239615,,2025-04-28 09:26:14.239701,,2998
7,7,701140,business,48,116749.53,0,,reject,,rejected,,2025-04-28 09:26:14.402153,,2025-04-28 09:26:14.402275,,5414
8,8,366887,home,24,99330.35,1,,approve,,approved,,2025-04-28 09:26:14.555115,,2025-04-28 09:26:14.555238,,9512
9,9,113499,personal,24,58711,1,,reject,,rejected,,2025-04-28 09:26:14.717699,,2025-04-28 09:26:14.717786,,204
10,10,474700,personal,36,33185.24,1,,reject,,rejected,,2025-04-28 09:26:14.880523,,2025-04-28 09:26:14.880612,,512
11,11,595881,personal,60,65850.94,1,,reject,,rejected,,2025-04-28 09:26:15.051675,,2025-04-28 09:26:15.051765,,429
12,12,162072,business,60,80548.53,1,,reject,,rejected,,2025-04-28 09:26:15.246683,,2025-04-28 09:26:15.246773,,5001
13,13,708550,business,48,69374.48,0,,reject,,rejected,,2025-04-28 09:26:15.439998,,2025-04-28 09:26:15.440106,,6056
14,14,385398,business,36,90589.38,1,,reject,,rejected,,2025-04-28 09:26:15.684883,,2025-04-28 09:26:15.684973,,6983
15,15,212937,personal,24,65246.14,0,,reject,,rejected,,2025-04-28 09:26:15.856872,,2025-04-28 09:26:15.856989,,8439
16,16,878313,personal,36,85479.93,1,,reject,,rejected,,2025-04-28 09:26:16.019601,,2025-04-28 09:26:16.019690,,1356
17,17,394177,business,60,42539.91,1,,reject,,rejected,,2025-04-28 09:26:16.198043,,2025-04-28 09:26:16.198153,,1098
18,18,177551,personal,36,98928.31,1,,reject,,rejected,,2025-04-28 09:26:16.365516,,2025-04-28 09:26:16.365600,,5650
19,19,585866,home,24,23818.4,1,,reject,,rejected,,2025-04-28 09:26:16.538775,,2025-04-28 09:26:16.538867,,3376
20,20,181649,medical,48,44000.57,1,,approve,,approved,,2025-04-28 09:26:16.711411,,2025-04-28 09:26:16.711498,,4416
21,21,582615,home,36,27938.79,0,,reject,,rejected,,2025-04-28 09:26:16.874189,,2025-04-28 09:26:16.874277,,4968
