#,id,amount_requested,purpose,term_months,monthly_income,existing_loans,risk_score,ai_decision,ml_scoring_output,status,notes,submitted_at,reviewed_at,updated_at,credit_score_records,user_id
1,1,648602.00,business,24,98582.29,1,,reject,,rejected,,2025-05-02 05:11:35.834632,,2025-05-02 05:11:35.834694,,52
2,2,918666.00,business,24,80211.12,0,,reject,,rejected,,2025-05-02 05:11:36.079676,,2025-05-02 05:11:36.079702,,239
3,3,107298.00,medical,48,88160.66,1,,reject,,rejected,,2025-05-02 05:11:36.534148,,2025-05-02 05:11:36.534174,,236
4,4,463642.00,home,12,78010.24,1,,reject,,rejected,,2025-05-02 05:11:36.738125,,2025-05-02 05:11:36.738150,,171
5,5,450049.00,personal,60,117505.87,0,,reject,,rejected,,2025-05-02 05:11:36.954842,,2025-05-02 05:11:36.954883,,95
6,6,902479.00,medical,12,55151.13,0,,reject,,rejected,,2025-05-02 05:11:37.258326,,2025-05-02 05:11:37.258363,,286
7,7,500259.00,home,60,25990.08,1,,reject,,rejected,,2025-05-02 05:11:37.494319,,2025-05-02 05:11:37.494355,,130
8,8,688231.00,business,60,83535.41,1,,reject,,rejected,,2025-05-02 05:11:37.677927,,2025-05-02 05:11:37.677962,,189
9,9,799580.00,personal,12,21644.35,0,,reject,,rejected,,2025-05-02 05:11:37.912469,,2025-05-02 05:11:37.912503,,300
10,10,791597.00,personal,48,28241.34,0,,reject,,rejected,,2025-05-02 05:11:38.198310,,2025-05-02 05:11:38.198346,,232
11,11,396823.00,home,60,123623.68,1,,reject,,rejected,,2025-05-02 05:11:38.392247,,2025-05-02 05:11:38.392284,,126
12,12,641305.00,business,36,19754.40,0,,reject,,rejected,,2025-05-02 05:11:38.575837,,2025-05-02 05:11:38.575873,,151
13,13,325689.00,home,36,30205.28,1,,reject,,rejected,,2025-05-02 05:11:38.810481,,2025-05-02 05:11:38.810516,,68
14,14,164824.00,home,48,100354.65,1,,reject,,rejected,,2025-05-02 05:11:39.014744,,2025-05-02 05:11:39.014784,,109
15,15,800164.00,medical,12,91832.49,1,,reject,,rejected,,2025-05-02 05:11:39.198285,,2025-05-02 05:11:39.198312,,69
16,16,142491.00,medical,48,71523.38,0,,reject,,rejected,,2025-05-02 05:11:39.433102,,2025-05-02 05:11:39.433143,,36
17,17,91288.00,education,36,15883.13,0,,reject,,rejected,,2025-05-02 05:11:39.698492,,2025-05-02 05:11:39.698521,,48
18,18,866494.00,medical,36,43542.97,1,,reject,,rejected,,2025-05-02 05:11:39.874557,,2025-05-02 05:11:39.874596,,86
19,19,946997.00,home,24,70820.89,1,,reject,,rejected,,2025-05-02 05:11:40.077873,,2025-05-02 05:11:40.077901,,280
20,20,315784.00,medical,60,68319.57,1,,reject,,rejected,,2025-05-02 05:11:40.310747,,2025-05-02 05:11:40.310774,,121
21,21,100674.00,medical,36,87488.50,0,,reject,,rejected,,2025-05-02 05:11:40.535523,,2025-05-02 05:11:40.535548,,167
22,22,385654.00,personal,24,84558.85,1,,reject,,rejected,,2025-05-02 05:11:40.751002,,2025-05-02 05:11:40.751028,,226
23,23,573770.00,business,36,30252.34,0,,reject,,rejected,,2025-05-02 05:11:40.975462,,2025-05-02 05:11:40.975498,,216
24,24,745054.00,business,24,49179.91,1,,reject,,rejected,,2025-05-02 05:11:41.281559,,2025-05-02 05:11:41.281585,,7
25,25,800361.00,home,36,97437.82,0,,reject,,rejected,,2025-05-02 05:11:41.475401,,2025-05-02 05:11:41.475427,,200
26,26,738750.00,personal,60,97437.82,1,,approve,,approved,,2025-05-02 05:11:41.689712,,2025-05-02 05:11:41.689762,,200
27,27,480215.00,home,24,54975.11,1,,reject,,rejected,,2025-05-02 05:11:41.893795,,2025-05-02 05:11:41.893835,,131
28,28,172672.00,business,60,91738.40,1,,reject,,rejected,,2025-05-02 05:11:42.107908,,2025-05-02 05:11:42.107934,,148
29,29,815411.00,education,48,17077.63,1,,reject,,rejected,,2025-05-02 05:11:42.352803,,2025-05-02 05:11:42.352829,,20
30,30,891027.00,personal,60,101608.21,1,,approve,,approved,,2025-05-02 05:11:42.567070,,2025-05-02 05:11:42.567106,,66
31,31,661785.00,education,12,72709.82,0,,reject,,rejected,,2025-05-02 05:11:42.832400,,2025-05-02 05:11:42.832428,,28
32,32,532722.00,home,36,22173.56,1,,reject,,rejected,,2025-05-02 05:11:43.005811,,2025-05-02 05:11:43.005840,,207
33,33,576399.00,home,24,34928.95,0,,reject,,rejected,,2025-05-02 05:11:43.209892,,2025-05-02 05:11:43.209929,,229
34,34,814379.00,medical,60,107587.92,0,,reject,,rejected,,2025-05-02 05:11:43.393487,,2025-05-02 05:11:43.393523,,61
35,35,206207.00,personal,12,88816.35,0,,reject,,rejected,,2025-05-02 05:11:43.628208,,2025-05-02 05:11:43.628234,,162
36,36,978498.00,home,48,88160.66,1,,reject,,rejected,,2025-05-02 05:11:43.801526,,2025-05-02 05:11:43.801551,,236
37,37,582226.00,personal,24,98582.29,0,,reject,,rejected,,2025-05-02 05:11:43.985862,,2025-05-02 05:11:43.985901,,52
38,38,546228.00,personal,24,36455.03,1,,reject,,rejected,,2025-05-02 05:11:44.180483,,2025-05-02 05:11:44.180510,,266
39,39,240661.00,home,36,123558.48,1,,reject,,rejected,,2025-05-02 05:11:44.415254,,2025-05-02 05:11:44.415296,,241
40,40,576373.00,business,12,123623.68,0,,reject,,rejected,,2025-05-02 05:11:44.619124,,2025-05-02 05:11:44.619161,,126
41,41,674367.00,personal,60,83350.78,0,,approve,,approved,,2025-05-02 05:11:44.833176,,2025-05-02 05:11:44.833204,,106
42,42,679760.00,medical,48,60724.14,0,,approve,,approved,,2025-05-02 05:11:45.078057,,2025-05-02 05:11:45.078083,,183
43,43,942190.00,personal,36,74512.98,1,,reject,,rejected,,2025-05-02 05:11:45.404809,,2025-05-02 05:11:45.404845,,188
44,44,426503.00,medical,24,19455.46,0,,reject,,rejected,,2025-05-02 05:11:45.588385,,2025-05-02 05:11:45.588421,,150
45,45,749851.00,personal,36,63543.85,1,,reject,,rejected,,2025-05-02 05:11:45.828858,,2025-05-02 05:11:45.828893,,40
46,46,753261.00,education,60,105099.80,1,,reject,,rejected,,2025-05-02 05:11:46.016894,,2025-05-02 05:11:46.016920,,299
47,47,133415.00,business,60,72783.94,1,,reject,,rejected,,2025-05-02 05:11:46.231053,,2025-05-02 05:11:46.231079,,49
48,48,334743.00,education,60,51952.11,1,,reject,,rejected,,2025-05-02 05:11:46.404626,,2025-05-02 05:11:46.404652,,230
49,49,664907.00,education,48,28241.34,1,,reject,,rejected,,2025-05-02 05:11:46.721251,,2025-05-02 05:11:46.721315,,232
50,50,633764.00,personal,36,31665.52,0,,reject,,rejected,,2025-05-02 05:11:46.925323,,2025-05-02 05:11:46.925358,,202
51,51,306097.00,home,48,110560.56,0,,reject,,rejected,,2025-05-02 05:11:47.149694,,2025-05-02 05:11:47.149719,,110
52,52,206077.00,medical,36,59247.85,0,,reject,,rejected,,2025-05-02 05:11:47.317365,,2025-05-02 05:11:47.317403,,191
53,53,200284.00,medical,12,91832.49,1,,reject,,rejected,,2025-05-02 05:11:47.558878,,2025-05-02 05:11:47.558904,,69
54,54,146003.00,education,48,80244.20,1,,reject,,rejected,,2025-05-02 05:11:47.783340,,2025-05-02 05:11:47.783365,,224
55,55,990760.00,home,60,80244.20,0,,reject,,rejected,,2025-05-02 05:11:48.008010,,2025-05-02 05:11:48.008036,,224
56,56,148849.00,personal,36,117198.65,1,,approve,,approved,,2025-05-02 05:11:48.232375,,2025-05-02 05:11:48.232402,,237
57,57,899309.00,home,12,91832.49,1,,reject,,rejected,,2025-05-02 05:11:48.405766,,2025-05-02 05:11:48.405792,,69
58,58,521401.00,medical,24,92498.94,1,,reject,,rejected,,2025-05-02 05:11:48.896125,,2025-05-02 05:11:48.896166,,76
59,59,362981.00,personal,24,65536.73,0,,reject,,rejected,,2025-05-02 05:11:49.149829,,2025-05-02 05:11:49.149870,,268
60,60,683787.00,medical,48,122145.21,0,,approve,,approved,,2025-05-02 05:11:49.353660,,2025-05-02 05:11:49.353689,,132
61,61,241733.00,personal,36,80244.20,1,,reject,,rejected,,2025-05-02 05:11:49.832302,,2025-05-02 05:11:49.832330,,224
62,62,751737.00,personal,12,15463.74,0,,reject,,rejected,,2025-05-02 05:11:50.026268,,2025-05-02 05:11:50.026297,,265
63,63,410852.00,medical,24,91832.49,1,,reject,,rejected,,2025-05-02 05:11:50.281380,,2025-05-02 05:11:50.281408,,69
64,64,652539.00,home,24,117505.87,1,,reject,,rejected,,2025-05-02 05:11:50.485290,,2025-05-02 05:11:50.485316,,95
65,65,136798.00,business,48,19754.40,1,,reject,,rejected,,2025-05-02 05:11:50.720062,,2025-05-02 05:11:50.720088,,151
66,66,751918.00,education,12,97437.82,0,,reject,,rejected,,2025-05-02 05:11:50.934266,,2025-05-02 05:11:50.934291,,200
67,67,698565.00,business,24,60724.14,0,,reject,,rejected,,2025-05-02 05:11:51.097485,,2025-05-02 05:11:51.097510,,183
68,68,109055.00,home,60,123623.68,1,,reject,,rejected,,2025-05-02 05:11:51.301489,,2025-05-02 05:11:51.301514,,126
69,69,653144.00,medical,12,86624.14,1,,reject,,rejected,,2025-05-02 05:11:51.517189,,2025-05-02 05:11:51.517216,,54
70,70,615904.00,medical,24,69770.42,1,,reject,,rejected,,2025-05-02 05:11:51.700790,,2025-05-02 05:11:51.700816,,119
71,71,274825.00,education,36,27700.93,0,,reject,,rejected,,2025-05-02 05:11:51.884358,,2025-05-02 05:11:51.884384,,159
72,72,527585.00,medical,48,30404.88,1,,reject,,rejected,,2025-05-02 05:11:52.149943,,2025-05-02 05:11:52.149981,,78
73,73,863980.00,personal,24,83350.78,0,,approve,,approved,,2025-05-02 05:11:52.394711,,2025-05-02 05:11:52.394761,,106
74,74,705803.00,home,24,55220.63,1,,reject,,rejected,,2025-05-02 05:11:52.588372,,2025-05-02 05:11:52.588398,,199
75,75,752521.00,business,48,49179.91,0,,reject,,rejected,,2025-05-02 05:11:52.822962,,2025-05-02 05:11:52.822987,,7
